book,passage,headword,pos,meaning_zh,definition_zh,synonyms,pos_variations,confusables,example_en,pronunciation,tags
C5,Johnson’s Dictionary,Concentrate,v. 常搭配 on,專注於、集中於 / 濃縮,指將所有的注意力、精力、思考或資源，完全投注、鎖定在某一個特定的焦點或活動上；在科學上指提高液體的濃度。,Focus (v.) 專注、聚焦（常搭配 on） | Center (v.) 集中、以……為中心（常搭配 on/around） | Condense (v. 特指濃縮、壓縮文字或液體),Concentration (n.) 專注、集中 / 濃度（例：high concentration of carbon dioxide 高濃度的二氧化碳）,,"To prepare for the IELTS exam, she decided to concentrate entirely on academic writing.",,
C5,Johnson’s Dictionary,Convey,v.,傳達、表達、傳遞（思想、印象或情感）,指利用言語、文字、手勢或圖表，將自己大腦中的想法、感受、內在資訊，成功地「傳遞給他人並讓對方完全理解」。,Communicate (v.) 傳達、交流 | Express (v.) 表達 | Transmit (v. 偏科技，指傳送訊號、播散疾病或傳遞知識),Conveyance (n.) 運輸、表達 / 交通工具,易混淆單字 | Convoy (n./v.) 護送、護航隊,The graphics and tables in the report help to convey complex data clearly.,,
C5,Johnson’s Dictionary,Critic,n.,評論家、批評者,專指對文學作品、藝術、電影、音樂或政府社會政策進行專業評估、深入分析，並公開發表反對意見或讚賞評論的專業人士。,Reviewer (n.) 評論員（通常指寫書評、影評的人） | Evaluator (n.) 評估者、考評員 | Detractor (n. 高級字) 惡意批評者、貶低者,Critical (adj.) 關鍵的、批判性的 / Criticism (n.) 批評、評論 / Criticize (v.) 批評、指責,詞性字外型大混淆（上考場極容易看錯！） | Critic (n.) 評論家（指「人」） | Critique (n. ⚠️發音與拼法不同) 評論文章、學術評論（指「物」）,"As a literary critic, Dr Johnson wrote many influential essays that shaped public taste.",,
C5,Johnson’s Dictionary,Garret,n.,閣樓、頂樓小套房,通常指舊式、傳統建築物屋頂正下方、空間非常狹小、昏暗且通常較為簡陋寒冷的閣樓空間（歷史傳記中常形容窮苦文人或藝術家工作的地方）。,Attic (n.) 閣樓（最常見的普通字） | Loft (n.) 閣樓、夾層、工廠改建的挑高公寓,,,"The impoverished artist spent years painting masterpieces in a small, cold garret.",,
C5,Johnson’s Dictionary,Rickety,adj.,搖搖晃晃的、不穩固的、快要散架的,形容椅子、桌子、床、樓梯或老舊的建築結構，因為時間久遠、破損、結構鬆動而「非常不牢固、稍微用力就會搖晃或倒塌」。,Shaky / Unstable (adj.) 搖晃的 / 不穩定的 | Dilapidated (adj. 還記得嗎？) 破舊的、倒塌的 | Decrepit (adj. 高級字) 衰老的、破舊的、衰弱的,,,He sat on a rickety wooden chair that creaked loudly every time he moved.,,
C5,Johnson’s Dictionary,Immense,adj.,巨大的、無限的、極大的,形容面積、規模、工作量、數量、價值或程度「超乎想像地巨大、浩瀚」，遠遠超出一般標準。,Enormous / Massive (adj.) 巨大的、龐大的 | Vast (adj.) 廣闊的、巨大的（常用於土地、海洋、知識） | Tremendous (adj.) 極大的、極好的,Immensely (adv.) 極其、非常（例：immensely helpful 非常有幫助） | Immensity (n.) 巨大、無限、浩瀚,易混淆單字 | Imminent (adj. 高級字) 即將發生的、逼近的（例：imminent danger 迫在眉睫的危險）,"The research project was an immense success, generating great profile for the university.",,
C5,Johnson’s Dictionary,Illustrated,v. 過去式,說明、闡明、插圖（原形：illustrate）,指利用具體的例子、實驗引文、圖表、照片或生動的故事，來「清晰地解釋、證明或說明一個抽象的概念或字義」；也指為書籍畫插圖。,Demonstrated (v.) 證明、展示 | Exemplified (v. 高級學術字) 舉例說明、作為……的範例 | Clarified (v. 還記得嗎？) 闡明、澄清,Illustration (n.) 插圖、實例說明 / Illustrative (adj.) 解釋性的、說明的,,The speaker illustrated his academic point with a fascinating cross-cultural case study.,,
C5,Johnson’s Dictionary,Predecessors,n. pl.,前任、前輩、被取代的原有事物（原形：predecessor）,指在某個職位或工作上比你更早任職的人（前任）；或是某個科技、書籍、制度在發展進化過程中的「前身、前代產品」。,Forerunners / Precursors (n. pl. 高級學術字) 先驅、前身 | Ancestors (n. pl.) 祖先、祖代,,世紀死敵反義詞（雅思聽力閱讀極常對決） | Predecessor (n.) 前任、前身 | Successor (n.) 繼任者、後繼之物（字根來自 succeed 繼承/成功）,The new digital HR platform is far more flexible and stable than its predecessor.,,
C5,Johnson’s Dictionary,Perpetual,adj.,永恆的、長期的、不間斷的,形容某種狀態、名聲、處境或動作將會「永遠持續存在、永不終結」，或頻繁重複到讓人覺得沒有盡頭。,Eternal / Everlasting (adj.) 永恆的、永久的 | Permanent (adj.) 永久的、固定的 | Incessant (adj. 還記得嗎？) 連續不斷的、沒完沒了的,Perpetuate (v. 高級學術字) 使永恆、使殘留、使（壞制度/錯誤觀念）延續下去 | Perpetually (adv.) 永恆地、常常,,This noble dictionary will remain a perpetual monument of fame to the author.,,
C5,Johnson’s Dictionary,Patronage,n.,贊助、資助、光顧,歷史義：古時指國王、貴族、富豪對藝術家、作家或學者的「金錢資助與政治庇護」。 商務義：現代指老顧客、常客對某家商店、飯店或企業的「固定光顧、惠顧」。,Sponsorship (n.) 贊助、主辦 | Backing / Support (n.) 後盾 / 支持 | Custom / Business (n. 對應商務光顧義) 惠顧、光顧,Patron (n.) 贊助人、老顧客 / Patronize (v.) 资助、光顧 / 擺出高人一等的傲慢姿態,,"Without the financial patronage of wealthy nobles, many medieval artists could not survive.",,
C5,Johnson’s Dictionary,Obscurities,n. pl.,默默無聞、模糊、晦澀（原形：obscurity）,指不為人知、完全沒有名氣的「默默無聞狀態」；在語言學中指文字、概念含糊不清、極難被人理解的特性。,Anonymity (n.) 匿名、不具名、默默無聞 | Vagueness / Ambiguity (n.) 含糊、模糊、模稜兩可,Obscure (adj.) 鮮為人知的、模糊的 / (v.) 使模糊、遮掩、掩蓋,,The brilliant young poet rose from complete obscurity to worldwide fame in just one year.,,
C5,Johnson’s Dictionary,Distraction,n.,分心、分神、干擾物 / 消遣娛樂,指任何會中斷你的思緒、分散你的注意力，讓你無法專注於當前核心工作的「外部人事物」；引申也可以指讓人暫時放鬆、忘記煩惱的娛樂消遣。,Interruption (n.) 干擾、中斷 | Diversion (n.) 轉向、消遣娛樂、娛樂活動 | Disturbance (n.) 打擾、騷動,Distract (v.) 使分心、干擾、轉移（注意力）,,Working or writing an essay from home can be difficult if there are too many distractions.,,
C5,Johnson’s Dictionary,Eccentricities,n. pl.,古怪之處、怪癖、異乎尋常（原形：eccentricity）,指一個人的行為、生活習慣或性格特徵與常人不同，顯得「奇特、古怪、不落俗套」，但通常是指有趣、無害的怪癖。,Peculiarities (n. pl.) 獨特之處、怪癖 | Quirks (n. pl.) 怪癖、奇癖 | Oddities (n. pl.) 怪事、怪人、奇特之處,Eccentric (adj.) 古怪的、異常的 / (n.) 行為古怪的人,,The brilliant professor was deeply loved by his graduate students despite his many eccentricities.,,
C5,Johnson’s Dictionary,Regulating,v. 現在分詞,規範、管理、調節（原形：regulate）,指透過制定法律、官方規則、機制或嚴格標準，來「約束、控制、管理或規範」某個行業、市場的運作，或使系統結構標準化。,Governing (v.) 統治、管理、支配 | Standardizing (v.) 使標準化、使合規格 | Controlling (v.) 控制,Regulation (n.) 法規、規定 / Regulatory (adj.) 監管的、規範的（例：regulatory bodies 監管機構）,,The local council is fully responsible for regulating the transport facilities in the city.,,
C5,Johnson’s Dictionary,Ascertaining,v. 現在分詞,查明、確定、弄清（原形：ascertain）,非常正式且高級的學術動詞。指透過仔細的研究、深入調查、科學檢查或核對事實，來「徹底查明、確定某事的真相、數據或結果」。,Determining (v.) 確定、決定、查明 | Verifying (v.) 證實、核對、查證 | Confirming (v.) 確認、證實,,,The survey team carried out rigorous checks to ascertain the exact number of endangered species.,,
C5,Johnson’s Dictionary,Stability,n.,穩定性、穩固、安定,形容一個系統、國家政權、社會環境、經濟體系或語言結構，處於一種「穩固牢靠、不容易發生劇烈動盪、倒塌或惡性變更」的優良狀態。,Steadiness (n.) 穩固、穩定 | Permanence (n.) 永久性、持久性 | Consistency (n.) 一致性、連貫性,Stable (adj.) 穩定的、牢固的 / Stabilize (v.) 使穩定、穩定下來,,The primary goal of the government's economic drive is to maintain price stability.,,
C5,Johnson’s Dictionary,Esteemed,adj.,受人尊敬的、備受推崇的、德高望重的,形容某人因為高尚的品德、卓越的學術成就、重大貢獻或專業能力，而在社會大眾或同行圈子裡「廣受敬重、享有極高聲譽的」。,Respected (adj.) 受尊敬的 | Venerated / Respected (adj. 還記得嗎？) 受崇敬的 | Honoured (adj.) 受榮譽的、備受尊崇的,Esteem (n./v.) 尊敬、尊重、高度評價（例：held in high esteem 備受尊崇）,,The university was proud to welcome the esteemed architect to the initial ceremony.,,
C5,Johnson’s Dictionary,Pension,n.,津貼、退休金、養老金、年金,指政府、社會福利機構或公司，在員工達到法定退休年齡、或因特殊重大貢獻後，承諾固定、定期支付的一筆「保障其生活質量的福利年金」。,Retirement fund (n. phr.) 退休基金 | Annuity (n. 高級金融字) 年金 | Allowance (n.) 津貼、補助,,,The local authority announced a new initiative to increase the monthly pension for senior citizens.,,
C5,Johnson’s Dictionary,Lexical,adj.,詞彙的、詞典的,語言學核心大字。形容與一種語言的「詞彙、字詞、語彙」本身直接相關的（原文指中產階級想要征服與界定他們的詞彙世界 lexical as well as social and commercial）。,Vocabulary-related (adj.) 詞彙相關的 | Verbal (adj.) 言語的、字詞的 | Linguistic (adj.) 語言學的,Lexicon (n. 高級字) 詞彙量、全部語彙 / 詞典 | Lexicographer (n. 文中出現過) 詞典編纂者,,The professor's research focuses on the lexical changes in English since the medieval era.,,
C5,Johnson’s Dictionary,Quotation,n.,引用、引文、引述 / 報價,"【雅思多義字考點！】 在文學、論文主題中，指從別人的書籍、詩歌或演講中「原封不動摘錄下來的句子、引文」（強森博士用了 114,000 句引文來解釋字義）。在商務、工程主題（如前面考過的 contractor 承包商場景）中，指「報價、估價單」。",Excerpt / Citation (n.) 摘錄 / 引文、引證（學術論文必備字） | Extract (n.) 節錄、選段 | Estimate / Price (n. 對應商務報價義) 估價、報價,Quote (v./n.) 引用 / 引號,,The dictionary illustrated the shades of meaning of each word using historical quotations.,,
C5,Johnson’s Dictionary,Orthography,n.,正字法、正確拼字,語言學專門術語。指一種語言中「官方規範的正確拼寫系統與規則」（強森博士自豪於他的詞典能夠固定正確的拼寫 setting the orthography）。,Spelling system (n. phr.) 拼寫系統 | Correct spelling (n. phr.) 正確拼寫,,,"In the 18th century, English orthography was highly chaotic before the dictionary was published.",,
C5,Johnson’s Dictionary,Analogy,n.,類比、比擬、相似之處,學術寫作與邏輯思維核心字。指為了幫助理解，而將兩個不同事物在某些特定特徵上進行「邏輯上的對比、類比」（常見結構：draw an analogy between A and B）。,Comparison (n.) 比較、對照 | Correlation (n. 寫作圖表大字) 相互關係、相關性 | Resemblance (n. 還記得嗎？) 相似、相似之處,Analogous (adj. ⚠️寫作極高階形容詞！) 類似的、可比擬的（常搭配 to）,,The scientist drew an analogy between the human brain and a complex computer network.,,
C5,Johnson’s Dictionary,Ascertain,v.,查明、確定、弄清,,Determine (查明、確定)、Verify (證實、核對)、Confirm (確認)。,,,It is essential to ascertain the accurate technical details before giving the presentation.,,
C5,Johnson’s Dictionary,Is associated with,phr.,與……有關聯、與……聯想在一起,學術寫作（Task 2）中用來建立事物之間「邏輯因果或關聯性」的頂級黃金片語。,Is linked to (phr.) 與……有聯繫 | Is connected with (phr.) 與……相連 | Corresponds to (phr. v.) 與……相符合、相對應,,,The rise of modern dictionaries is closely associated with the expansion of the middle class.,,
C5,Johnson’s Dictionary,Conquer,v.,征服、克服、戰勝,原本指在戰爭中用武力「攻克、征服」敵方國家或領土；在學術與生活中，常用來指「成功克服、戰勝（困難、恐懼或某個學術領域）」。,Defeat / Overcome (v.) 戰勝 / 克服（如 overcome difficulties） | Subjugate (v. 高級字) 征服、使服從 | Master (v. 特指掌握知識/語言) 精通、掌握,Conqueror (n.) 征服者 | Conquest (n.) 征服、戰利品,,"With a relentless drive, she managed to conquer her fear of public speaking.",,
C5,Johnson’s Dictionary,Heyday,n.,全盛時期、鼎盛時期,(註：這個字在「印度階梯井」也考過！重複率高到嚇人，它在本文指中產階級崛起的全盛期 the heyday of the middle class，為你再次鞏固語境。),Golden age (黃金時代)、Prime (全盛期)、Peak (巔峰)。,,,The city's harbor reached its heyday during the 19th century as a key commercial hub.,,
C5,Johnson’s Dictionary,Genius,n.,天才、天賦、創造力,指一個人在智力、藝術創作或某個領域中，展現出遠超常人的「極高天賦、才華或獨創性」；也可指具備這種天賦的天才。,Brilliance (n. 還記得嗎？) 才華、光輝 | Intellect (n.) 智力、才智 | Giftedness (n.) 有天賦、天才,,易混淆單字 | Genuine (adj.) 真正的、真誠的（拼法前半部極像！） | Ingenuity (n. 階梯井核心字！) 聰明才智、原創巧思（注意兩者是名詞，意思有微妙交集，但 ingenuity 偏向解決問題的巧思）,"Dr Johnson's dictionary was a work of sheer genius, making order out of chaos.",,
C5,Johnson’s Dictionary,Biographer,n.,傳記作者,專門研究並撰寫「另外一個人一生真實事蹟與故事（傳記）」的作家。,,Biography (n.) 傳記 | Autobiography (n. 多了 auto- 字首) 自傳（自己寫自己的故事）,,James Boswell became famous as the biographer of Samuel Johnson.,,
C5,Johnson’s Dictionary,Clerks,n. pl.,辦事員、書記官、店員（原形：clerk）,指在辦公室、法律機構或商店中，負責處理抄寫、記錄、建檔等日常行政工作的「基層辦事員/抄寫員」。,Scribes (n. pl. 歷史學術字) 抄寫員、書記 | Administrative assistants (n. pl.) 行政助理,,,"In the 18th century, copying clerks had to work standing up at long desks.",,
C5,Johnson’s Dictionary,Predecessors,n. pl.,前任、前輩、前身,(註：這個字在追加清單的第 10 個字詳細拆解過，強森博士和他的 predecessors 前輩們不同，他把英語當成 living language 活的語言來處理。),,,Predecessor（前任/前身）vs Successor（繼任者/後繼產品）。,The new project coordinator is much more rigorous than her predecessor.,,
C5,Johnson’s Dictionary,Noble,adj.,高尚的、宏偉的、貴族的,形容人的品德極其「高尚、崇高」；或形容建築、作品極其「宏偉、壯麗」（文中義大利學者讚嘆這是 This very noble work 宏偉高貴的傑作）；也可指封建社會的貴族。,Magnificent (adj.) 宏偉的、壯麗的 | Gracious / Honourable (adj.) 溫和高尚的 / 值得尊敬的 | Aristocratic (adj. 特指階級) 貴族的,Nobility (n.) 高尚、貴族階級,,It is a noble goal to spare no efforts to preserve endangered historical artifacts.W,,
C5,Johnson’s Dictionary,Appropriate,adj.,適當的、恰當的 / (v.) 撥款、盜用,【寫作必備大字！】 當形容詞時，形容在特定情況下非常適合、妥當、得體的。當動詞時發音不同，指政府撥出專款，或惡意挪用。,Suitable / Fitting (adj.) 適合的、恰當的 | Adequate (adj. 還記得嗎？) 足夠的、適當的,Appropriately (adv.) 適當地 | Inappropriate (adj.) 不適當的,,It is highly appropriate that the monument was built in the heart of the city.,,
C5,Johnson’s Dictionary,Throughout,prep./adv.,貫穿、遍及、在整個……期間,【時間與空間的雙重極限！】 指在某個特定區域的「每一個角落、到處」；或者指在某個時間段的「從頭到尾、自始至終」（文中指困擾著貫穿整個17、18世紀的作家們 throughout the late seventeenth...）。,All over (prep.) 遍及 | During the entire course of (phr.) 在整個……期間,,,The drive to upgrade public facilities was supported by citizens throughout the country.,,
C5,Johnson’s Dictionary,Intensely,adv.,強烈地、極度地、熱切地,形容情感、態度或做法的程度極其強烈、深刻或專注（文中指強森博士的方法是 intensely practical 極度實用的）。,Extremely / Deeply (adv.) 極其 / 深深地 | Profoundly (adv. 高級字) 深刻地、極度地 | Acute (adj. 對應形容詞形式) 劇烈的、敏銳的,Intense (adj.) 強烈的、劇烈的 / Intensity (n.) 強度、強烈,易混淆單字 | Intensively (adv. 還記得交通調查的 footpath 嗎？) 密集地、精深地（如 study intensively 密集研讀）,The training coordinator was intensely focused on checking the technical details.,,
C5,Johnson’s Dictionary,Bower,n.,樹蔭處、涼爽的隱居處,文學古典字彙。指花園、森林中由樹枝、藤蔓交織而成的「陰涼休息處、綠茵深處」（文中強森博士自嘲自己不是在大學安逸的學術象牙塔/樹蔭下編詞典 under the shelter of academic bowers）。,Arbour (n.) 蔭涼處、藤架 | Sanctuary (n. 還記得嗎？) 避難所、神聖安寧的地方,,,The weary travellers rested under a beautiful bower beside the highway.,,
C5,Johnson’s Dictionary,Amidst / Amid,prep.,在……之中、在……環境中,非常正式且具有強烈文學色彩的介系詞。形容自己正身處於某種情緒、混難、噪音或情況的「包圍之中」（文中指在不便與干擾中編纂詞典 amidst inconvenience and distraction）。,Among / In the middle of (prep.) 在……之中 | Surrounded by (phr.) 被……圍繞,,,"Amidst the chaos of the financial crisis, the technology sector remained stable.",,
C5,Johnson’s Dictionary,Sorrow,n.,悲傷、悲痛、傷心事,指因為失去至親、遭遇不幸或失敗，而產生的「深沉、持久的內心悲痛」。,Grief (n.) 深切的悲傷（通常指喪親之痛） | Distress (n. 還記得嗎？) 痛苦、憂傷 | Misery (n.) 痛苦、不幸,Sorrowful (adj.) 悲傷的,,He wrote his greatest masterpiece in sickness and in sorrow.,,
C5,Johnson’s Dictionary,Folklore,n.,民間傳說、民俗學,指一個文化、民族中代代口耳相傳的「傳統故事、神話、信仰與風俗」（文中指強森博士此後成為了民間傳說中的傳奇人物 the Johnson of folklore）。,Legends (n. pl. 靈熊主題用過喔！) 傳說 | Mythology (n.) 神話（學） | Traditional lore (n. phr. 高級字) 傳統知識、民俗,,,The white bear fur brings a special power according to the local folklore. as famous in his own time as in ours 「不論是在他自己那個時代，還是在我們現在這個時代，他都同樣出名。」 As... as... (同等比較句型)： 基本結構是 $as + 形容詞 + as + 比較對象$，用來表示兩者的程度「一模一樣、不分軒輊」。 這裡的第一個 as famous 代表「同樣出名」；第二個 as 後面連接了兩個形成對比的時間點。,,
C5,The birth of modern plastics,Synthetic,adj.,人造的、合成的,指並非天然存在，而是透過化學工業手段，將多種成分人工「工程合成」出來的物質（原文指電木是第一個完全人造的塑料 first totally synthetic plastic）。,Artificial (adj.) 人造的、人工的 | Man-made (adj.) 人為製造的 | Manufactured (adj.) 經工業加工的,Synthesize (v. 還記得詞典主題的那個字嗎？) 綜合、合成（例：synthesize chemicals 合成化學品） | Synthesis (n.) 綜合體、融合,,Bakelite was a revolutionary new synthetic material that launched the modern plastics industry.,,
C5,The birth of modern plastics,Formulated / Engineered,v. 過去式,調配出、製造出、透過工程設計（原形：engineer）,在科技文章中當動詞用，指運用科學、工程學原理與精密的化學計算，去「設計並製造出」某種特定產品。,Designed / Developed (v.) 設計 / 研發 | Formulated (v. 專指化學配方調配) 配製、系統闡述,,,The new plastic was chemically engineered from the constituents of coal or oil.,,
C5,The birth of modern plastics,Revert,v. 常搭配 to,恢復、回復（原形、原狀或舊習慣）,指事物回到原本的狀態、或是人回歸到以前的舊習慣、舊做法（原文指熱固性塑料加熱後無法回復到原本黏稠的液態 cannot revert to their original viscous state）。,Return (v.) 回到、恢復 | Regress (v. 偏負面) 退化、倒退 | Default (v. 科技常用) 恢復到默認狀態,,考場字首字根大對決（都是 re- 開頭） | Revert (v.) 恢復、回復（重回原狀） | Recede (v. 階梯井主題核心字！) 後退、退去（如 flood recedes 大水退去） | Convert (v.) 轉變、改裝（如 convert A into B）,"After the power outage, the machine's settings will revert to their original values.",,
C5,The birth of modern plastics,Impetus,n.,動力、推動力、促進因素,學術寫作與閱讀的高階大字。指引發某個重大歷史事件、科學發現或技術重大突破背後的「主要推動力或刺激因素」（原文指早期塑料發展背後的推動力 The impetus behind the development...）。,Momentum (n.) 動量、氣勢、推動力 | Stimulus (n.) 刺激（物）、促進因素 | Incentive (n.) 動機、誘因（偏向利益上的誘因）,,,The government's new grant provided a fresh impetus for environmental science research.,,
C5,The birth of modern plastics,Domain,n.,領域、領地、範圍,指某個特定專業知識、學術研究或活動的「領域、範圍」（原文指化學領域的技術進步 progress in the domain of chemistry）。,Field / Sphere (n.) 領域 / 範圍（如 sphere of influence 影響範圍） | Realm (n. 高級學術字) 王國、領域 | Province (n. 交通調查主題考過喔！) 領域、職責範圍,,,Financial asset management falls outside the domain of the human resource department.,,
C5,The birth of modern plastics,Substitutes,n. pl.,替代品、代替者（原形：substitute）,指因為原本的資源缺乏、太昂貴或為了安全，而刻意尋找來「取代原本人事物」的另一種選擇。,Alternatives (n. pl. 最完美學術換詞) 替代方案、另一種選擇 | Replacements (n. pl.) 代替者、更換件,Substitution (n.) 代替、更換,,Scientists are working tirelessly to find acceptable substitutes for dwindling natural resources.,,
C5,The birth of modern plastics,Dwindling,adj./v. 現在分詞,正在減少的、縮減的、日漸枯竭的（原形：dwindle）,形容資源、數量、體積或力量在時間推移下「逐漸變少、越來越稀缺且隨時可能枯竭」（原文指稀缺的奢侈材料供應 dwindling supplies of luxury materials）。,Diminishing / Shrinking (adj.) 正在減少的 / 正在縮減的 | Depleting (adj. 資源耗盡大字) 正在枯竭的,,,Deforestation has led to a dwindling habitat for several endangered species.,,
C5,The birth of modern plastics,Volatile,adj.,易揮發的 / 反覆無常的、不穩定的,科學義：形容液體在低溫下就「極其容易蒸發、揮發成氣體」（原文形容醛是一種易揮發的液體 a volatile fluid）。 商務與心理義：形容市場價格暴漲暴跌「極不穩定」，或人的脾氣「反覆無常」。,Evaporative (adj.) 易蒸發的 | Unstable / Unpredictable (adj. 對應金融/情緒義) 不穩定的 / 難以預測的,Volatility (n.) 揮發性 / 變幻莫測、波動性,,Chemical workers must be highly rigorous when handling volatile fluids.,,
